id,time,treatment,replicate,live,flag,dino,cili,anne,pdia,cdia,other
PRO-01,t0,DW24,A,1102,116,754,0,0,203,0,29
PRO-02,t0,DW24,B,1798,116,841,0,0,841,0,0
PRO-03,t0,DW24,C,1276,58,899,29,0,290,0,0
PRO-04,t0,DW120,A,812,116,406,29,0,261,0,0
PRO-05,t0,DW120,B,609,58,290,87,0,174,0,0
PRO-06,t0,DW120,C,377,116,261,0,0,0,0,0
PRO-07,t0,HW120,A,580,29,203,0,0,348,0,0
PRO-08,t0,HW120,B,87,0,29,0,0,58,0,0
PRO-09,t0,HW120,C,638,116,232,29,0,29,232,0
PRO-10,t1,DW24,A,684,21,342,107,21,192,0,0
PRO-11,t1,DW24,B,491,235,0,0,21,235,0,0
PRO-12,t1,DW24,C,385,128,43,43,0,171,0,0
PRO-13,t1,DW120,A,855,0,278,0,0,556,0,21
PRO-14,t1,DW120,B,769,85,0,0,21,598,0,64
PRO-15,t1,DW120,C,983,85,171,0,43,684,0,0
PRO-16,t1,HW120,A,192,64,21,21,0,64,21,0
PRO-17,t1,HW120,B,192,21,64,43,0,64,0,0
PRO-18,t1,HW120,C,192,43,64,21,0,64,0,0
