id,time,treatment,replicate,live,flag,dino,cili,anne,pdia,cdia,other
PRO-01,t0,DW,A,384.6315789,89.74736842,141.0315789,0,0,115.3894737,25.64210526,12.82105263
PRO-02,t0,DW,B,307.7052632,51.28421053,76.92631579,12.82105263,0,115.3894737,51.28421053,0
PRO-03,t0,DW,C,243.6,38.46315789,89.74736842,12.82105263,12.82105263,76.92631579,12.82105263,0
PRO-04,t0,UV,A,141.0315789,12.82105263,51.28421053,0,0,64.10526316,12.82105263,0
PRO-05,t0,UV,B,217.9578947,25.64210526,102.5684211,0,0,89.74736842,0,0
PRO-06,t0,UV,C,153.8526316,38.46315789,38.46315789,0,0,38.46315789,25.64210526,12.82105263
PRO-07,t0,HW,A,205.1368421,38.46315789,76.92631579,0,0,51.28421053,12.82105263,25.64210526
PRO-08,t0,HW,B,282.0631579,64.10526316,89.74736842,38.46315789,0,89.74736842,0,0
PRO-09,t0,HW,C,294.8842105,89.74736842,128.2105263,38.46315789,0,38.46315789,0,0
PRO-10,t1,DW,A,1115.431579,102.5684211,230.7789474,12.82105263,0,679.5157895,38.46315789,51.28421053
PRO-11,t1,DW,B,1359.031579,166.6736842,333.3473684,0,0,666.6947368,102.5684211,89.74736842
PRO-12,t1,DW,C,1641.094737,102.5684211,320.5263158,38.46315789,0,1089.789474,76.92631579,12.82105263
PRO-13,t1,UV,A,807.7263158,51.28421053,102.5684211,12.82105263,0,576.9473684,25.64210526,38.46315789
PRO-14,t1,UV,B,1025.684211,25.64210526,153.8526316,51.28421053,0,756.4421053,12.82105263,25.64210526
PRO-15,t1,UV,C,1166.715789,76.92631579,153.8526316,64.10526316,0,743.6210526,51.28421053,76.92631579
PRO-16,t1,HW,A,2236.205263,27.77894737,319.4578947,0,0,1888.968421,0,0
PRO-17,t1,HW,B,2208.426316,166.6736842,236.1210526,0,0,1750.073684,41.66842105,13.88947368
PRO-18,t1,HW,C,2527.884211,97.22631579,347.2368421,0,0,2013.973684,55.55789474,13.88947368
PRO-19,t2,DW,A,3226.631579,170.9473684,341.8947368,21.36842105,0,2671.052632,0,21.36842105
PRO-20,t2,DW,B,2813,87,464,29,0,2204,0,29
PRO-21,t2,DW,C,3683,348,580,0,0,2755,0,0
PRO-22,t2,UV,A,2668,232,377,58,0,2001,0,0
PRO-23,t2,UV,B,1816.315789,128.2105263,170.9473684,42.73684211,21.36842105,1346.210526,42.73684211,64.10526316
PRO-24,t2,UV,C,2265.052632,106.8421053,256.4210526,42.73684211,0,1859.052632,0,0
PRO-25,t2,HW,A,982.9473684,256.4210526,128.2105263,0,0,534.2105263,21.36842105,42.73684211
PRO-26,t2,HW,B,2349,58,725,29,0,1537,0,0
PRO-27,t2,HW,C,1538.526316,106.8421053,341.8947368,0,21.36842105,961.5789474,64.10526316,42.73684211
PRO-28,t3,DW,A,1015,0,290,0,0,725,0,0
PRO-29,t3,DW,B,1073,0,261,0,0,812,0,0
PRO-30,t3,DW,C,1276,145,377,0,0,754,0,0
PRO-31,t3,UV,A,1682,116,203,29,0,1334,0,0
PRO-32,t3,UV,B,1827,87,203,0,0,1537,0,0
PRO-33,t3,UV,C,3886,58,261,0,0,3567,0,0
PRO-34,t3,HW,A,1711,145,348,0,0,1218,0,0
PRO-35,t3,HW,B,1276,116,464,0,58,638,0,0
PRO-36,t3,HW,C,1160,116,348,0,0,696,0,0
